,Crop,Year,Value(hg/ha)
117,Maize,2014,74554
118,Maize,2015,83001
119,Maize,2016,75080
120,Maize,2017,64363
121,Maize,2018,73365
122,Maize,2019,55507
123,Maize,2020,70912
124,Oats,1990,14659
125,Oats,1991,14567
126,Oats,1992,16853
127,Oats,1993,17392
128,Oats,1994,10301
129,Oats,1995,16505
130,Oats,1996,15713
131,Oats,1997,17439
132,Oats,1998,19780
133,Oats,1999,19144
134,Oats,2000,16154
135,Oats,2001,16139
136,Oats,2002,18284
137,Oats,2003,10501
138,Oats,2004,18527
139,Oats,2005,14352
140,Oats,2006,18145
141,Oats,2007,7463
142,Oats,2008,12137
143,Oats,2009,13329
144,Oats,2010,13665
145,Oats,2011,13652
146,Oats,2012,17261
147,Oats,2013,15388
148,Oats,2014,17555
149,Oats,2015,14021
150,Oats,2016,15821
151,Oats,2017,22041
152,Oats,2018,14046
153,Oats,2019,12094
154,Oats,2020,14007
155,Sorghum,1990,24883
156,Sorghum,1991,19865
157,Sorghum,1992,25431
158,Sorghum,1993,12834
159,Sorghum,1994,21697
160,Sorghum,1995,18555
161,Sorghum,1996,20677
162,Sorghum,1997,26195
163,Sorghum,1998,21321
164,Sorghum,1999,32215
165,Sorghum,2000,34003
166,Sorghum,2001,25539
167,Sorghum,2002,24561
168,Sorghum,2003,21966
169,Sorghum,2004,27367
170,Sorghum,2005,26629
171,Sorghum,2006,25205
172,Sorghum,2007,20918
173,Sorghum,2008,40252
174,Sorghum,2009,35096
175,Sorghum,2010,30279
176,Sorghum,2011,30558
177,Sorghum,2012,33960
178,Sorghum,2013,34419
179,Sorghum,2014,24099
180,Sorghum,2015,30160
181,Sorghum,2016,34399
182,Sorghum,2017,27017
183,Sorghum,2018,27201
184,Sorghum,2019,21089
185,Sorghum,2020,19474
186,Wheat,1990,16344
187,Wheat,1991,14698
188,Wheat,1992,17812
189,Wheat,1993,19658
190,Wheat,1994,11356
191,Wheat,1995,17899
192,Wheat,1996,21673
193,Wheat,1997,18412
194,Wheat,1998,19153
195,Wheat,1999,20066
196,Wheat,2000,18209
197,Wheat,2001,18209
198,Wheat,2002,21076
199,Wheat,2003,9070
200,Wheat,2004,19998
201,Wheat,2005,16348
202,Wheat,2006,20213
203,Wheat,2007,9173
204,Wheat,2008,10788
205,Wheat,2009,15831
206,Wheat,2010,15729
207,Wheat,2011,20301
208,Wheat,2012,21511
209,Wheat,2013,17609
210,Wheat,2014,20061
211,Wheat,2015,19172
212,Wheat,2016,19743
213,Wheat,2017,26100
214,Wheat,2018,19178
215,Wheat,2019,16917
216,Wheat,2020,14681
