Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2014","2014","ha","28060","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2015","2015","ha","28190","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2016","2016","ha","28553","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2017","2017","ha","29282","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","31361","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2019","2019","ha","37903","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","221","Almonds, with shell","2020","2020","ha","39301","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1990","1990","hg/ha","16667","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1991","1991","hg/ha","29032","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1992","1992","hg/ha","24359","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1993","1993","hg/ha","21739","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1994","1994","hg/ha","23555","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1995","1995","hg/ha","26596","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1996","1996","hg/ha","27484","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1997","1997","hg/ha","31250","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1998","1998","hg/ha","36082","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","1999","1999","hg/ha","36000","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2000","2000","hg/ha","35959","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2001","2001","hg/ha","93185","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2002","2002","hg/ha","75541","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2003","2003","hg/ha","62447","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2004","2004","hg/ha","50069","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2005","2005","hg/ha","63799","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2006","2006","hg/ha","50158","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2007","2007","hg/ha","62393","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2008","2008","hg/ha","47782","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2009","2009","hg/ha","46035","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2010","2010","hg/ha","36181","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2011","2011","hg/ha","32300","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2012","2012","hg/ha","41907","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2013","2013","hg/ha","56531","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2014","2014","hg/ha","54337","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2015","2015","hg/ha","55090","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2016","2016","hg/ha","61170","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2017","2017","hg/ha","63513","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2018","2018","hg/ha","55164","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2019","2019","hg/ha","55932","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","221","Almonds, with shell","2020","2020","hg/ha","56458","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1990","1990","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1991","1991","tonnes","9000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1992","1992","tonnes","9500","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1993","1993","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1994","1994","tonnes","11000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1995","1995","tonnes","12500","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1996","1996","tonnes","13000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1997","1997","tonnes","15000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1998","1998","tonnes","17500","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","1999","1999","tonnes","18000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2000","2000","tonnes","21000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2001","2001","tonnes","20100","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2002","2002","tonnes","20600","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2003","2003","tonnes","22200","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2004","2004","tonnes","25300","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2005","2005","tonnes","35600","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2006","2006","tonnes","35000","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2007","2007","tonnes","58500","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2008","2008","tonnes","57400","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2009","2009","tonnes","80400","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2010","2010","tonnes","86100","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2011","2011","tonnes","82900","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2012","2012","tonnes","109200","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2013","2013","tonnes","161600","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2014","2014","tonnes","152470","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2015","2015","tonnes","155300","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2016","2016","tonnes","174660","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2017","2017","tonnes","185980","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2018","2018","tonnes","173000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2019","2019","tonnes","212000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5510","Production","221","Almonds, with shell","2020","2020","tonnes","221886","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1990","1990","ha","21100","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1991","1991","ha","20400","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1992","1992","ha","19700","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1993","1993","ha","19700","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1994","1994","ha","19720","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1995","1995","ha","19750","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1996","1996","ha","19750","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1997","1997","ha","19755","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1998","1998","ha","19760","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","1999","1999","ha","19760","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2000","2000","ha","19700","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2001","2001","ha","25000","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2002","2002","ha","22000","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2003","2003","ha","21000","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2004","2004","ha","20500","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2005","2005","ha","20500","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2006","2006","ha","20000","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2007","2007","ha","20000","*","Unofficial figure"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2008","2008","ha","16441","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2009","2009","ha","22000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2010","2010","ha","16792","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2011","2011","ha","18790","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2012","2012","ha","18056","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2013","2013","ha","18015","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2014","2014","ha","16704","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2015","2015","ha","18508","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2016","2016","ha","19315","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2017","2017","ha","19676","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2018","2018","ha","16849","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2019","2019","ha","16646","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","515","Apples","2020","2020","ha","16507","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1990","1990","hg/ha","151376","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1991","1991","hg/ha","141534","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1992","1992","hg/ha","160457","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1993","1993","hg/ha","166392","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1994","1994","hg/ha","155639","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1995","1995","hg/ha","160281","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1996","1996","hg/ha","141847","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1997","1997","hg/ha","178724","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1998","1998","hg/ha","156304","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","1999","1999","hg/ha","169207","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2000","2000","hg/ha","162260","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2001","2001","hg/ha","121067","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2002","2002","hg/ha","131938","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2003","2003","hg/ha","155272","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2004","2004","hg/ha","139162","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2005","2005","hg/ha","220805","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2006","2006","hg/ha","150626","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2007","2007","hg/ha","188990","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2008","2008","hg/ha","161475","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2009","2009","hg/ha","134152","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2010","2010","hg/ha","157457","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2011","2011","hg/ha","159541","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2012","2012","hg/ha","160093","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2013","2013","hg/ha","160354","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2014","2014","hg/ha","159705","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2015","2015","hg/ha","159496","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2016","2016","hg/ha","159616","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2017","2017","hg/ha","159448","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2018","2018","hg/ha","159271","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2019","2019","hg/ha","159288","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","515","Apples","2020","2020","hg/ha","159306","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1990","1990","tonnes","319403","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1991","1991","tonnes","288730","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1992","1992","tonnes","316101","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1993","1993","tonnes","327792","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1994","1994","tonnes","306920","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1995","1995","tonnes","316555","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1996","1996","tonnes","280147","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1997","1997","tonnes","353069","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1998","1998","tonnes","308856","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","1999","1999","tonnes","334353","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2000","2000","tonnes","319652","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2001","2001","tonnes","302668","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2002","2002","tonnes","290264","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2003","2003","tonnes","326072","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2004","2004","tonnes","285282","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2005","2005","tonnes","452650","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2006","2006","tonnes","301251","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2007","2007","tonnes","377980","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2008","2008","tonnes","265481","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2009","2009","tonnes","295134","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2010","2010","tonnes","264401","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2011","2011","tonnes","299778","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2012","2012","tonnes","289064","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2013","2013","tonnes","288878","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2014","2014","tonnes","266771","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2015","2015","tonnes","295196","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2016","2016","tonnes","308298","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2017","2017","tonnes","313730","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2018","2018","tonnes","268355","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2019","2019","tonnes","265150","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","515","Apples","2020","2020","tonnes","262966","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1990","1990","ha","2450000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1991","1991","ha","2650000","F","FAO estimate"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1992","1992","ha","2947000","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1993","1993","ha","3424470","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1994","1994","ha","2470490","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1995","1995","ha","3110590","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1996","1996","ha","3367000","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1997","1997","ha","3521000","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1998","1998","ha","3167000","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","1999","1999","ha","2589000","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2000","2000","ha","3454000","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2001","2001","ha","3454047","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2002","2002","ha","3707378","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2003","2003","ha","3863778","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2004","2004","ha","4477024","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2005","2005","ha","4645658","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2006","2006","ha","4405727","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2007","2007","ha","4181979","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2008","2008","ha","4901838","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2009","2009","ha","5015011","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2010","2010","ha","4421596","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2011","2011","ha","3680994","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2012","2012","ha","3718261","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2013","2013","ha","3644368","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2014","2014","ha","3814113","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2015","2015","ha","4078041","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2016","2016","ha","4107648","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2017","2017","ha","4834102","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2018","2018","ha","4124158","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2019","2019","ha","4436588","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","44","Barley","2020","2020","ha","5040903","","Official data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1990","1990","hg/ha","16766","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1991","1991","hg/ha","17094","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1992","1992","hg/ha","18313","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1993","1993","hg/ha","19472","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1994","1994","hg/ha","11792","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1995","1995","hg/ha","18719","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1996","1996","hg/ha","19887","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1997","1997","hg/ha","18410","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1998","1998","hg/ha","18904","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","1999","1999","hg/ha","19479","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2000","2000","hg/ha","19522","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2001","2001","hg/ha","19523","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2002","2002","hg/ha","22333","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2003","2003","hg/ha","10003","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2004","2004","hg/ha","23189","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2005","2005","hg/ha","16660","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2006","2006","hg/ha","21521","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2007","2007","hg/ha","10179","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","44","Barley","2008","2008","hg/ha","14607","Fc","Calculated data"
