Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2009","2009","°C","0.67","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2010","2010","°C","0.865","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2011","2011","°C","1.061","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2012","2012","°C","0.264","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2013","2013","°C","1.96","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2014","2014","°C","1.23","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2015","2015","°C","0.393","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2016","2016","°C","0.855","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2017","2017","°C","1.074","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2018","2018","°C","1.538","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2019","2019","°C","2.744","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2020","2020","°C","1.482","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7001","January","2021","2021","°C","0.391","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1990","1990","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1991","1991","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1992","1992","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1993","1993","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1994","1994","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1995","1995","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1996","1996","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1997","1997","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1998","1998","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","1999","1999","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2000","2000","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2001","2001","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2002","2002","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2003","2003","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2004","2004","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2005","2005","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2006","2006","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2007","2007","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2008","2008","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2009","2009","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2010","2010","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2011","2011","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2012","2012","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2013","2013","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2014","2014","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2015","2015","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2016","2016","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2017","2017","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2018","2018","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2019","2019","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2020","2020","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7001","January","2021","2021","°C","0.617","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1990","1990","°C","-0.202","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1991","1991","°C","0.755","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1992","1992","°C","0.486","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1993","1993","°C","-0.133","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1994","1994","°C","0.077","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1995","1995","°C","-0.116","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1996","1996","°C","0.413","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1997","1997","°C","1.048","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1998","1998","°C","1.377","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","1999","1999","°C","0.289","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2000","2000","°C","0.306","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2001","2001","°C","0.566","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2002","2002","°C","-0.419","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2003","2003","°C","1.032","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2004","2004","°C","0.985","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2005","2005","°C","0.797","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2006","2006","°C","0.709","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2007","2007","°C","1.822","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2008","2008","°C","-0.308","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2009","2009","°C","0.712","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2010","2010","°C","1.049","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2011","2011","°C","0.031","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2012","2012","°C","-0.049","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2013","2013","°C","1.038","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2014","2014","°C","0.382","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2015","2015","°C","1.937","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2016","2016","°C","1.303","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2017","2017","°C","0.741","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2018","2018","°C","1.029","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2019","2019","°C","1.456","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2020","2020","°C","1.037","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7002","February","2021","2021","°C","-0.052","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1990","1990","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1991","1991","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1992","1992","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1993","1993","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1994","1994","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1995","1995","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1996","1996","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1997","1997","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1998","1998","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","1999","1999","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2000","2000","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2001","2001","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2002","2002","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2003","2003","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2004","2004","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2005","2005","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2006","2006","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2007","2007","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2008","2008","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2009","2009","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2010","2010","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2011","2011","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2012","2012","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2013","2013","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2014","2014","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2015","2015","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2016","2016","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2017","2017","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2018","2018","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2019","2019","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2020","2020","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7002","February","2021","2021","°C","0.579","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1990","1990","°C","1.129","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1991","1991","°C","0.327","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1992","1992","°C","1.053","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1993","1993","°C","0.218","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1994","1994","°C","-0.651","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1995","1995","°C","-0.502","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1996","1996","°C","0.131","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1997","1997","°C","-0.618","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1998","1998","°C","1.249","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","1999","1999","°C","0.536","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2000","2000","°C","0.028","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2001","2001","°C","-0.486","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2002","2002","°C","0.385","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2003","2003","°C","-0.359","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2004","2004","°C","0.397","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2005","2005","°C","1.063","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2006","2006","°C","0.749","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2007","2007","°C","0.693","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2008","2008","°C","0.583","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2009","2009","°C","0.567","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2010","2010","°C","0.411","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2011","2011","°C","-0.673","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2012","2012","°C","-0.797","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2013","2013","°C","0.91","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2014","2014","°C","0.968","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2015","2015","°C","0.886","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2016","2016","°C","1.78","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2017","2017","°C","1.704","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2018","2018","°C","1.071","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2019","2019","°C","1.912","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2020","2020","°C","0.534","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7003","March","2021","2021","°C","0.217","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1990","1990","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1991","1991","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1992","1992","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1993","1993","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1994","1994","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1995","1995","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1996","1996","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1997","1997","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1998","1998","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","1999","1999","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2000","2000","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2001","2001","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2002","2002","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2003","2003","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2004","2004","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2005","2005","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2006","2006","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2007","2007","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2008","2008","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2009","2009","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2010","2010","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2011","2011","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2012","2012","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2013","2013","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2014","2014","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2015","2015","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2016","2016","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2017","2017","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2018","2018","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2019","2019","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2020","2020","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7003","March","2021","2021","°C","0.526","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1990","1990","°C","0.244","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1991","1991","°C","0.455","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1992","1992","°C","0.888","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1993","1993","°C","1.314","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1994","1994","°C","0.002","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1995","1995","°C","-0.627","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1996","1996","°C","-0.088","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1997","1997","°C","0.256","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1998","1998","°C","0.634","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","1999","1999","°C","-0.738","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2000","2000","°C","0.146","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2001","2001","°C","0.287","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2002","2002","°C","1.783","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2003","2003","°C","0.938","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2004","2004","°C","1.056","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2005","2005","°C","2.543","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2006","2006","°C","-0.434","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2007","2007","°C","1.024","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2008","2008","°C","-0.313","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2009","2009","°C","0.759","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2010","2010","°C","1.494","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2011","2011","°C","-0.356","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2012","2012","°C","0.281","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2013","2013","°C","1.203","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2014","2014","°C","1.323","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2015","2015","°C","-0.408","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2016","2016","°C","2.115","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2017","2017","°C","0.237","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2018","2018","°C","2.347","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2019","2019","°C","1.293","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2020","2020","°C","1.568","Fc","Calculated data"
"ET","Temperature change","10","Australia","7271","Temperature change","7004","April","2021","2021","°C","0.313","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1990","1990","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1991","1991","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1992","1992","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1993","1993","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1994","1994","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1995","1995","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1996","1996","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1997","1997","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1998","1998","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","1999","1999","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2000","2000","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2001","2001","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2002","2002","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2003","2003","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2004","2004","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2005","2005","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2006","2006","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2007","2007","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2008","2008","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2009","2009","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2010","2010","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2011","2011","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2012","2012","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2013","2013","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2014","2014","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2015","2015","°C","0.565","Fc","Calculated data"
"ET","Temperature change","10","Australia","6078","Standard Deviation","7004","April","2016","2016","°C","0.565","Fc","Calculated data"
